"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
4862,4772.98459056112,4682.53513924376,4589.04845252051,4490.52756621731,4384.20803947553,4265.81620463331,4127.81606173363,3954.18037066278,3696.82612008787,3473.60968797745,3214.07234613012,4951.01540943888,5041.46486075624,5134.95154747949,5233.47243378268,5339.79196052447,5458.18379536669,5596.18393826637,5769.81962933722,6027.17387991213,6250.39031202255,6509.92765386988
4128,3928.95549344969,3726.70437177652,3517.66178527209,3297.36238629463,3059.62469716438,2794.89250647626,2486.31480604788,2098.05359749331,1522.59199890929,1023.46488301543,443.121743945196,4327.04450655031,4529.29562822348,4738.3382147279,4958.63761370537,5196.37530283562,5461.10749352373,5769.68519395212,6157.94640250669,6733.4080010907,7232.53511698456,7812.8782560548
3394,3060.93483573631,2722.50397808506,2372.70882614198,2004.07742415412,1606.2661815624,1163.28449819131,646.935244134836,0,0,0,0,3727.06516426369,4065.49602191493,4415.29117385801,4783.92257584587,5181.73381843759,5624.71550180868,6141.06475586516,6790.75002196799,7753.68145464928,8588.88086670455,9559.9806789713
2660,2172.44252284767,1677.03047484284,1164.9828033954,625.361685258792,43.0256542612806,0,0,0,0,0,0,3147.55747715232,3642.96952515715,4155.01719660459,4694.6383147412,5276.97434573871,5925.43313141377,6681.29104346473,7632.33289133975,9041.9201744369,10264.5269251639,11686.071491611
