"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
4361.22222222493,4322.87986546485,4283.91981177273,4243.65150410267,4201.21477326282,4155.41886836731,4104.42295656265,4044.98099313905,3970.18943002329,3859.33706691595,3763.18917377428,3651.39646938294,4399.56457898502,4438.52463267713,4478.79294034719,4521.22967118705,4567.02557608255,4618.02148788722,4677.46345131082,4752.25501442657,4863.10737753392,4959.25527067559,5071.04797506693
4795.44444444986,4741.2201635064,4686.12232718423,4629.17434034342,4569.15974004692,4504.39455024255,4432.27544014281,4348.21180929507,4242.44056638569,4085.67165105817,3949.69799658362,3791.59923785902,4849.66872539333,4904.7665617155,4961.71454855631,5021.72914885281,5086.49433865718,5158.61344875692,5242.67707960466,5348.44832251404,5505.21723784156,5641.1908923161,5799.28965104071
5229.6666666748,5163.25575668439,5095.77496422404,5026.02820940468,4952.52563548293,4873.20480142533,4784.87729120134,4681.92079045002,4552.37800315604,4360.37607811504,4193.84304215296,4000.21239823163,5296.0775766652,5363.55836912555,5433.30512394491,5506.80769786666,5586.12853192427,5674.45604214825,5777.41254289958,5906.95533019356,6098.95725523455,6265.49029119663,6459.12093511796
5663.88888889973,5587.20417537956,5509.28406799533,5428.7474526552,5343.8739909755,5252.28218118449,5150.29035757516,5031.40643072796,4881.82330449645,4660.11857828176,4467.82279199842,4244.23738321574,5740.5736024199,5818.49370980413,5899.03032514425,5983.90378682396,6075.49559661496,6177.4874202243,6296.3713470715,6445.954473303,6667.6591995177,6859.95498580103,7083.54039458372
