"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
192,184.268505056472,176.412455413907,168.292604589828,159.735504879939,150.501048861772,140.218044175195,128.231946332577,113.150698310547,90.7980169090008,71.4103993374713,48.8681040337888,199.731494943528,207.587544586093,215.707395410172,224.264495120061,233.498951138228,243.781955824805,255.768053667423,270.849301689453,293.201983090999,312.589600662529,335.131895966211
152,134.711851738575,117.145190703187,98.9886522933882,79.8543956518333,59.20552425998,36.212026767844,9.41029720678651,0,0,0,0,169.288148261425,186.854809296813,205.011347706612,224.145604348167,244.79447574002,267.787973232156,294.589702793214,328.312398556007,378.294513649259,421.646544460968,472.052649128876
112,83.0713948337422,53.676748657777,23.2950488423582,0,0,0,0,0,0,0,0,140.928605166258,170.323251342223,200.704951157642,232.722686496508,267.274857069721,305.750337513485,350.598209044912,407.02707210831,490.663147588609,563.20497008707,647.550515824933
