"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
4254,4211.16373205084,4167.63737007701,4122.64942037931,4075.23889774199,4024.07548946866,3967.10260811854,3900.69375671251,3817.13625767797,3693.29145704205,3585.87456195825,3460.97920745428,4296.83626794916,4340.36262992299,4385.35057962069,4432.76110225801,4483.92451053134,4540.89739188146,4607.30624328749,4690.86374232203,4814.70854295795,4922.12543804175,5047.02079254572
4581,4485.21519296328,4387.88728877655,4287.29117508415,4181.2780236183,4066.87316475856,3939.47792918565,3790.98322313409,3604.14297526298,3327.21758238117,3087.02610304183,2807.75160029701,4676.78480703672,4774.11271122345,4874.70882491585,4980.7219763817,5095.12683524144,5222.52207081435,5371.01677686591,5557.85702473702,5834.78241761883,6074.97389695817,6354.24839970299
4908,4747.7213616062,4584.86062780743,4416.53113350522,4239.13720126847,4047.70125677003,3834.52825442055,3586.04908501,3273.40555152705,2810.02073841414,2408.10351945952,1940.78789370597,5068.2786383938,5231.13937219257,5399.46886649478,5576.86279873153,5768.29874322997,5981.47174557945,6229.95091499,6542.59444847295,7005.97926158586,7407.89648054048,7875.21210629403
5235,5000.37609764909,4761.9723946571,4515.56324600372,4255.88511888802,3975.65159058651,3663.59826777124,3299.86200844032,2842.19873774098,2163.87282836077,1575.52626341515,891.446233520834,5469.62390235091,5708.0276053429,5954.43675399628,6214.11488111198,6494.34840941349,6806.40173222876,7170.13799155968,7627.80126225902,8306.12717163923,8894.47373658485,9578.55376647917
