"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
93,88.1769177725199,83.2761354935414,78.2107880432158,72.8726748023753,67.1120113049557,60.697239322153,53.2200391294582,43.81201392417,29.867903348949,17.773466965634,3.71107092968923,97.8230822274801,102.723864506459,107.789211956784,113.127325197625,118.887988695044,125.302760677847,132.779960870542,142.18798607583,156.132096651051,168.226533034366,182.288929070311
130,119.215260278283,108.256777959561,96.9303167309778,84.9939326528668,72.1126974771349,57.768831263427,41.0493033511869,20.012319458131,0,0,0,140.784739721717,151.743222040439,163.069683269022,175.006067347133,187.887302522865,202.231168736573,218.950696648813,239.987680541869,271.167659673837,298.211641576476,329.656115039372
167,148.953678756531,130.61663054142,111.663835837333,91.6904449983063,70.1360158704673,46.134136896543,18.157015563159,0,0,0,0,185.046321243469,203.38336945858,222.336164162667,242.309555001694,263.863984129533,287.865863103457,315.842984436841,351.044591441163,403.218675776931,448.47191300943,501.088581013063
204,177.582890673069,150.740200636888,122.996150035442,93.7580996701883,62.2056462328552,27.0704930705234,0,0,0,0,0,230.417109326931,257.259799363112,285.003849964558,314.241900329812,345.794353767145,380.929506929477,421.883819054686,473.413695319821,549.78873438377,616.032690658298,693.05560587288
