"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
3635,3618.2919756307,3601.31478430702,3583.76750962926,3565.27532519047,3545.31935065829,3523.0974266775,3497.19506027747,3464.60396873412,3416.29906155846,3374.40175848658,3325.68708919884,3651.7080243693,3668.68521569298,3686.23249037074,3704.72467480953,3724.68064934171,3746.9025733225,3772.80493972253,3805.39603126588,3853.70093844154,3895.59824151342,3944.31291080116
4098,4060.63972174053,4022.67756787375,3983.44066887443,3942.09088741682,3897.46797180561,3847.77823919373,3789.85878714516,3716.9828909933,3608.96983490173,3515.28461715909,3406.35530513028,4135.36027825947,4173.32243212625,4212.55933112558,4253.90911258318,4298.53202819439,4348.22176080627,4406.14121285484,4479.0171090067,4587.03016509827,4680.71538284091,4789.64469486972
4561,4498.48429720022,4434.96146387728,4369.3055739615,4300.1141554585,4225.44573593989,4142.29890992885,4045.38112935325,3923.43643093704,3742.69601818583,3585.93066466101,3403.65706247629,4623.51570279978,4687.03853612272,4752.6944260385,4821.8858445415,4896.55426406011,4979.70109007115,5076.61887064675,5198.56356906296,5379.30398181417,5536.06933533899,5718.34293752371
