"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
2261,2225.08884749255,2188.59916485279,2150.8841817336,2111.13827037393,2068.24618277458,2020.48380923211,1964.81092957049,1894.76173446946,1790.93827514828,1700.88690779272,1596.18273215381,2296.91115250745,2333.40083514721,2371.1158182664,2410.86172962607,2453.75381722542,2501.51619076789,2557.18907042951,2627.23826553054,2731.06172485172,2821.11309220728,2925.81726784619
2081,2000.70022184298,1919.10681098309,1834.77354495832,1745.8989853304,1649.98936176138,1543.18944775368,1418.70110432713,1262.0663423121,1029.91002961074,828.549050736903,594.423396480225,2161.29977815702,2242.89318901691,2327.22645504168,2416.1010146696,2512.01063823862,2618.81055224632,2743.29889567287,2899.9336576879,3132.08997038926,3333.4509492631,3567.57660351978
1901,1766.63277095293,1630.10088036284,1488.98433518288,1340.26875234988,1179.78125594962,1001.07081817458,792.761976745704,530.661888458383,142.190074968844,0,0,2035.36722904707,2171.89911963716,2313.01566481712,2461.73124765012,2622.21874405038,2800.92918182542,3009.2380232543,3271.33811154162,3659.80992503116,3996.75128888618,4388.51844109158
1721,1524.30651705661,1324.44429407661,1117.87082397355,900.173501770584,665.243862604076,403.638568712094,98.7056483926915,0,0,0,0,1917.69348294339,2117.55570592339,2324.12917602645,2541.82649822942,2776.75613739592,3038.36143128791,3343.29435160731,3726.96959452643,4295.63410121076,4788.86575355901,5362.35414218315
