"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84952024114422,23.5178592581736,40.7157508048343,66.2056167601785,88.3142740713138,114.020366118817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43858278924303,28.7600742587523,64.8081883958723,96.0745514111389,132.428455420329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13864879380083,52.2883917065772,90.5817094565927,135.105966946911
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0112335189777,78.2285481412483,129.640732236255
