"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
154,140.151168513183,126.07923178599,111.534768317784,96.2070945931397,79.6661246769576,61.2469702802051,39.7771962689239,12.7633181000182,0,0,0,167.848831486817,181.92076821401,196.465231682216,211.79290540686,228.333875323042,246.753029719795,268.222803731076,295.236681899982,335.275318705614,370.002865013293,410.38114259958
154,134.414794688324,114.514070919871,93.9450934256943,72.2684893646727,48.8760253744027,22.8274074190714,0,0,0,0,0,173.585205311676,193.485929080129,214.054906574306,235.731510635327,259.123974625597,285.172592580929,315.535438168768,353.738831047529,410.362014236985,459.474181213243,516.577689001036
154,130.013120239374,105.63981086698,80.4480611712181,53.8997515182958,25.2499512170002,0,0,0,0,0,0,177.986879760626,202.36018913302,227.551938828782,254.100248481704,282.750048783,314.652960030631,351.839699445192,398.629108943212,467.978062156365,528.127936783465,598.065165085034
154,126.302337026366,98.1584635719794,69.0695366355678,38.4141891862793,5.33224935391519,0,0,0,0,0,0,181.697662973634,209.841536428021,238.930463364432,269.585810813721,302.667750646085,339.50605943959,382.445607462152,436.473363799964,516.550637411228,586.005730026586,666.76228519916
