"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
477,428.680529911287,379.58263118769,328.836056057697,275.356809612066,217.64429416525,153.378671409965,78.4692392216192,0,0,0,0,525.319470088713,574.41736881231,625.163943942303,678.643190387935,736.35570583475,800.621328590035,875.530760778381,969.783931481277,1109.4813287212,1230.64798719817,1371.53041312137
477,408.665950073861,339.231035814929,267.464541022109,191.833465393203,110.215643329649,19.3303280347732,0,0,0,0,0,545.334049926139,614.768964185071,686.535458977891,762.166534606797,843.784356670351,934.669671965227,1040.60760691565,1173.90171922036,1371.46367302528,1542.81920475084,1742.05704219145
477,393.308222811544,308.268167677403,220.372521242145,127.743749247813,27.7827402613245,0,0,0,0,0,0,560.691777188456,645.731832322597,733.627478757855,826.256250752187,926.217259738675,1037.52858353088,1167.27552604723,1330.52680647911,1572.48979618379,1782.35660484925,2026.3721244418
