"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
308,277.597160124173,246.704529257308,214.774543371884,181.125147726995,144.812159137938,104.375924333168,57.2425541238078,0,0,0,0,338.402839875827,369.295470742692,401.225456628116,434.874852273005,471.187840862062,511.624075666832,558.757445876192,618.061988153003,705.960253418692,782.198889918659,870.842780855322
308,265.003891512947,221.315113963642,176.159294878093,128.571863191434,77.2175422384891,20.0320705662813,0,0,0,0,0,350.996108487053,394.684886036358,439.840705121907,487.428136808566,538.782457761511,595.967929433719,662.624580824148,746.493868822342,870.800787670148,978.618501385235,1103.97989416938
308,255.340736640686,201.833130399806,146.528772561294,88.2463096603604,25.3503684494435,0,0,0,0,0,0,360.659263359314,414.166869600194,469.471227438706,527.75369033964,590.649631550556,660.687244699202,742.324636633768,845.04311697682,997.28737831416,1129.33657023188,1282.87229311477
308,247.194320248345,185.409058514617,121.549086743767,54.2502954539908,0,0,0,0,0,0,0,368.805679751655,430.590941485383,494.450913256233,561.749704546009,634.375681724125,715.248151333663,809.514891752385,928.123976306005,1103.92050683738,1256.39777983732,1433.68556171064
