"means","lower.10.","lower.20.","lower.30.","lower.40.","lower.50.","lower.60.","lower.70.","lower.80.","lower.90.","lower.95.","lower.98.","upper.10.","upper.20.","upper.30.","upper.40.","upper.50.","upper.60.","upper.70.","upper.80.","upper.90.","upper.95.","upper.98."
312,292.732154607973,273.153903440425,252.91822697327,231.59287199101,208.57946098355,182.952936499782,153.082092404024,115.497749747173,59.7920922400525,11.4757419589646,0,331.267845392027,350.846096559575,371.08177302673,392.40712800899,415.42053901645,441.047063500218,470.917907595976,508.502250252827,564.207907759947,612.524258041035,668.702456935977
312,284.751151728888,257.063323400194,228.44575529655,198.287149058217,165.741271095001,129.499892613569,87.2561397738169,34.1038526556194,0,0,0,339.248848271112,366.936676599806,395.55424470345,425.712850941783,458.258728904999,494.500107386431,536.743860226183,589.896147344381,668.67584369186,737.005481543744,816.453452330663
312,278.627112828628,244.71658708309,209.667367316452,172.730768997735,132.87037187735,88.4839294500548,36.7461098112341,0,0,0,0,345.372887171372,379.28341291691,414.332632683548,451.269231002265,491.12962812265,535.516070549945,587.253890188766,652.351881239511,748.836910310874,832.523283834013,929.826778597761
312,273.464309215947,234.30780688085,193.836453946541,151.18574398202,105.158921967101,53.9058729995635,0,0,0,0,0,350.535690784053,389.69219311915,430.163546053459,472.81425601798,518.841078032899,570.094127000436,629.835815191951,705.004500505655,816.415815519895,913.048516082071,1025.40491387195
